day,provincia,active,ili
2013-11-01,OR,2,0
2013-11-01,LI,5,0
2013-11-01,TS,10,0
2013-11-01,PV,5,0
2013-11-01,BS,8,0
2013-11-01,BZ,9,0
2013-11-01,PN,1,0
2013-11-01,FG,6,0
2013-11-01,CO,13,0
2013-11-01,AG,2,0
2013-11-01,SO,3,0
2013-11-01,PO,1,0
2013-11-01,CH,3,0
2013-11-01,TO,80,1
2013-11-01,VC,1,0
2013-11-01,IS,1,0
2013-11-01,IM,8,0
2013-11-01,CT,3,0
2013-11-01,MN,1,0
2013-11-01,GO,2,0
2013-11-01,CN,5,0
2013-11-01,RO,1,0
2013-11-01,LT,7,0
2013-11-01,MS,2,0
2013-11-01,SS,7,0
2013-11-01,MI,103,0
2013-11-01,BG,12,0
2013-11-01,BA,3,0
2013-11-01,OG,1,0
2013-11-01,AN,15,0
2013-11-01,TV,21,0
2013-11-01,NO,6,0
2013-11-01,AP,2,0
2013-11-01,SA,4,0
2013-11-01,VR,4,0
2013-11-01,CS,1,0
2013-11-01,ME,10,0
2013-11-01,PD,25,0
2013-11-01,VE,18,0
2013-11-01,RM,92,0
2013-11-01,LC,8,0
2013-11-01,RI,3,0
2013-11-01,LO,1,0
2013-11-01,GR,4,0
2013-11-01,VI,10,0
2013-11-01,BN,1,0
2013-11-01,AO,1,0
2013-11-01,AL,9,0
2013-11-01,PG,4,0
2013-11-01,BI,3,0
2013-11-01,BL,2,0
2013-11-01,NA,20,0
2013-11-01,PR,5,0
2013-11-01,BO,26,0
2013-11-01,SR,3,0
2013-11-01,RE,6,0
2013-11-01,VT,2,0
2013-11-01,SP,1,0
2013-11-01,MO,13,0
2013-11-01,PE,4,0
2013-11-01,TP,5,0
2013-11-01,AQ,4,0
2013-11-01,SI,2,0
2013-11-01,SV,14,0
2013-11-01,CR,8,0
2013-11-01,FE,5,0
2013-11-01,TA,2,0
2013-11-01,RN,6,0
2013-11-01,TN,15,0
2013-11-01,TR,2,0
2013-11-01,VA,15,0
2013-11-01,MT,2,0
2013-11-01,MB,21,0
2013-11-01,FM,3,0
2013-11-01,CA,3,0
2013-11-01,FI,16,0
2013-11-01,UD,7,0
2013-11-01,PU,5,0
2013-11-01,AR,5,0
2013-11-01,PI,12,0
2013-11-01,MC,3,0
2013-11-01,GE,12,0
2013-11-01,VS,1,0
2013-11-01,CE,6,0
2013-11-01,PT,1,0
2013-11-01,CB,2,0
2013-11-01,RA,10,0
2013-11-01,RG,2,0
2013-11-01,LU,8,0
2013-11-01,BR,2,0
2013-11-01,FC,5,0
2013-11-01,PA,6,0
2013-11-01,RC,2,0
2013-11-01,LE,4,0
2013-11-01,VB,3,0
2013-11-02,OR,2,0
2013-11-02,FI,16,0
2013-11-02,SP,1,0
2013-11-02,MB,21,0
2013-11-02,AL,9,0
2013-11-02,LE,4,0
2013-11-02,SS,7,0
2013-11-02,SV,14,0
2013-11-02,NA,20,0
2013-11-02,VT,2,0
2013-11-02,FG,6,0
2013-11-02,LI,5,0
2013-11-02,MI,103,0
2013-11-02,TN,15,0
2013-11-02,TO,80,0
2013-11-02,AQ,4,0
2013-11-02,VC,1,0
2013-11-02,PA,6,0
2013-11-02,MO,13,0
2013-11-02,TA,2,0
2013-11-02,PG,4,0
2013-11-02,VI,10,0
2013-11-02,PR,5,0
2013-11-02,LC,8,0
2013-11-02,ME,10,0
2013-11-02,GR,4,0
2013-11-02,VA,15,0
2013-11-02,AN,15,1
2013-11-02,GE,12,0
2013-11-02,OG,1,0
2013-11-02,RC,2,0
2013-11-02,BG,12,0
2013-11-02,BN,1,0
2013-11-02,CO,13,0
2013-11-02,PO,1,0
2013-11-02,TR,2,0
2013-11-02,RA,10,0
2013-11-02,RE,6,0
2013-11-02,PD,25,0
2013-11-02,SI,2,0
2013-11-02,MS,2,0
2013-11-02,TP,5,0
2013-11-02,CB,2,0
2013-11-02,PT,1,0
2013-11-02,IM,8,0
2013-11-02,SR,3,0
2013-11-02,CR,8,0
2013-11-02,GO,2,0
2013-11-02,NO,6,0
2013-11-02,CS,1,0
2013-11-02,BI,3,0
2013-11-02,FC,5,0
2013-11-02,BA,3,0
2013-11-02,SA,4,0
2013-11-02,AP,2,0
2013-11-02,RI,3,0
2013-11-02,PE,4,0
2013-11-02,CA,3,0
2013-11-02,PI,12,0
2013-11-02,TS,10,0
2013-11-02,LU,8,0
2013-11-02,PV,5,0
2013-11-02,PN,1,0
2013-11-02,BL,2,0
2013-11-02,BO,26,0
2013-11-02,TV,21,0
2013-11-02,BS,8,0
2013-11-02,BZ,9,0
2013-11-02,RO,1,0
2013-11-02,MC,3,0
2013-11-02,VE,18,0
2013-11-02,SO,3,0
2013-11-02,UD,7,0
2013-11-02,AG,2,0
2013-11-02,VS,1,0
2013-11-02,LT,7,0
2013-11-02,AR,5,0
2013-11-02,RN,6,0
2013-11-02,CE,6,0
2013-11-02,BR,2,0
2013-11-02,IS,1,0
2013-11-02,FM,3,0
2013-11-02,CN,5,0
2013-11-02,LO,1,0
2013-11-02,CH,3,0
2013-11-02,PU,5,0
2013-11-02,RG,2,0
2013-11-02,RM,92,0
2013-11-02,VR,4,0
2013-11-02,VB,3,0
2013-11-02,CT,3,0
2013-11-02,MN,1,0
2013-11-02,AO,1,0
2013-11-02,MT,2,0
2013-11-02,FE,5,0
2013-11-03,MN,1,0
2013-11-03,BI,3,0
2013-11-03,SR,3,0
2013-11-03,CT,3,0
2013-11-03,VE,18,0
2013-11-03,VA,15,0
2013-11-03,VS,1,0
2013-11-03,SP,1,0
2013-11-03,TS,10,0
2013-11-03,BZ,9,0
2013-11-03,TV,21,0
2013-11-03,RA,10,0
2013-11-03,PA,6,0
2013-11-03,CB,2,0
2013-11-03,RI,3,0
2013-11-03,MB,21,0
2013-11-03,PT,1,0
2013-11-03,FE,5,0
2013-11-03,LO,1,0
2013-11-03,OR,2,0
2013-11-03,AQ,4,0
2013-11-03,PV,5,0
2013-11-03,CA,3,0
2013-11-03,LT,7,0
2013-11-03,PU,5,0
2013-11-03,CN,5,0
2013-11-03,VB,3,0
2013-11-03,PR,5,0
2013-11-03,RG,2,0
2013-11-03,RN,6,0
2013-11-03,BN,1,0
2013-11-03,NO,6,0
2013-11-03,LI,5,0
2013-11-03,AR,5,0
2013-11-03,PG,4,0
2013-11-03,CR,8,0
2013-11-03,LE,4,0
2013-11-03,FI,16,0
2013-11-03,GR,4,0
2013-11-03,NA,20,0
2013-11-03,AL,9,0
2013-11-03,MI,103,0
2013-11-03,CE,6,0
2013-11-03,PD,25,0
2013-11-03,BG,12,0
2013-11-03,RM,92,0
2013-11-03,PI,12,0
2013-11-03,OG,1,0
2013-11-03,CS,1,0
2013-11-03,FM,3,0
2013-11-03,AN,15,0
2013-11-03,BR,2,0
2013-11-03,ME,10,0
2013-11-03,RO,1,0
2013-11-03,TP,5,0
2013-11-03,RE,6,0
2013-11-03,BA,3,0
2013-11-03,PN,1,0
2013-11-03,SA,4,0
2013-11-03,AP,2,0
2013-11-03,LC,8,0
2013-11-03,MT,2,0
2013-11-03,VC,1,0
2013-11-03,IM,8,0
2013-11-03,TA,2,0
2013-11-03,CH,3,0
2013-11-03,FG,6,0
2013-11-03,MO,13,0
2013-11-03,BS,8,0
2013-11-03,SO,3,0
2013-11-03,VI,10,0
2013-11-03,MS,2,0
2013-11-03,IS,1,0
2013-11-03,GO,2,0
2013-11-03,BL,2,0
2013-11-03,PE,4,0
2013-11-03,TO,80,1
2013-11-03,MC,3,0
2013-11-03,LU,8,0
2013-11-03,BO,26,0
2013-11-03,RC,2,0
2013-11-03,UD,7,0
2013-11-03,CO,13,0
2013-11-03,VR,4,0
2013-11-03,AG,2,0
2013-11-03,FC,5,0
2013-11-03,GE,12,0
2013-11-03,SI,2,0
2013-11-03,SV,14,0
2013-11-03,PO,1,0
2013-11-03,TN,15,0
2013-11-03,AO,1,0
2013-11-03,SS,7,0
2013-11-03,TR,2,0
