day,provincia,active,ili
2013-12-10,PA,7,0
2013-12-10,GO,2,0
2013-12-10,AN,12,0
2013-12-10,PO,1,0
2013-12-10,LE,3,0
2013-12-10,PT,1,0
2013-12-10,GR,3,0
2013-12-10,CB,2,0
2013-12-10,MN,2,0
2013-12-10,AL,9,0
2013-12-10,RM,102,0
2013-12-10,LT,7,0
2013-12-10,TV,20,0
2013-12-10,PD,25,1
2013-12-10,SP,1,0
2013-12-10,PE,1,0
2013-12-10,CT,2,0
2013-12-10,VI,10,0
2013-12-10,FE,6,0
2013-12-10,RN,5,0
2013-12-10,TS,10,0
2013-12-10,LC,7,0
2013-12-10,AG,2,0
2013-12-10,RG,2,0
2013-12-10,FM,1,0
2013-12-10,PR,3,0
2013-12-10,AQ,5,0
2013-12-10,OG,1,0
2013-12-10,PV,6,0
2013-12-10,MI,99,0
2013-12-10,VR,4,0
2013-12-10,VB,3,0
2013-12-10,MB,23,0
2013-12-10,TN,19,0
2013-12-10,AP,2,0
2013-12-10,SA,3,0
2013-12-10,RI,4,0
2013-12-10,FG,5,0
2013-12-10,CA,2,0
2013-12-10,ME,6,0
2013-12-10,IM,8,0
2013-12-10,AO,1,0
2013-12-10,CE,5,0
2013-12-10,BZ,8,0
2013-12-10,PG,5,0
2013-12-10,LU,5,0
2013-12-10,CO,12,0
2013-12-10,FI,18,0
2013-12-10,IS,1,0
2013-12-10,CL,1,0
2013-12-10,RC,2,0
2013-12-10,BA,4,0
2013-12-10,VC,2,0
2013-12-10,VA,14,0
2013-12-10,MO,12,0
2013-12-10,BL,2,0
2013-12-10,RO,1,0
2013-12-10,SR,3,0
2013-12-10,BO,33,0
2013-12-10,PI,11,0
2013-12-10,GE,11,0
2013-12-10,MS,2,0
2013-12-10,VE,18,0
2013-12-10,AR,5,0
2013-12-10,FC,4,0
2013-12-10,CS,1,0
2013-12-10,UD,7,0
2013-12-10,TR,1,0
2013-12-10,RE,5,0
2013-12-10,TP,2,0
2013-12-10,TA,2,0
2013-12-10,SI,3,0
2013-12-10,VS,1,0
2013-12-10,TO,103,0
2013-12-10,BG,15,0
2013-12-10,CR,9,0
2013-12-10,MT,2,0
2013-12-10,SS,8,0
2013-12-10,BN,1,0
2013-12-10,NO,3,0
2013-12-10,BS,6,0
2013-12-10,BR,1,0
2013-12-10,MC,3,0
2013-12-10,PU,5,0
2013-12-10,RA,9,0
2013-12-10,LO,1,0
2013-12-10,BI,4,0
2013-12-10,NA,30,0
2013-12-10,SV,12,0
2013-12-10,CH,8,0
2013-12-10,VT,2,0
2013-12-10,CN,6,0
2013-12-10,LI,5,0
2013-12-10,SO,2,0
2013-12-11,RO,1,0
2013-12-11,MO,12,0
2013-12-11,TO,101,0
2013-12-11,CA,2,0
2013-12-11,NO,3,0
2013-12-11,TA,2,0
2013-12-11,LI,5,0
2013-12-11,MN,2,0
