day,provincia,active,ili
2014-01-13,SA,3,0
2014-01-13,NO,4,0
2014-01-13,MI,113,1
2014-01-13,LI,6,0
2014-01-13,GO,3,0
2014-01-13,BL,1,0
2014-01-13,MO,13,0
2014-01-13,CE,7,0
2014-01-13,AP,2,0
2014-01-13,VB,3,0
2014-01-13,RI,4,0
2014-01-13,VE,18,0
2014-01-13,MS,2,0
2014-01-13,PA,6,0
2014-01-13,GE,11,0
2014-01-13,CN,8,0
2014-01-13,RG,1,0
2014-01-13,PD,26,1
2014-01-13,CA,4,0
2014-01-13,VR,5,0
2014-01-13,SR,3,0
2014-01-13,BA,6,1
2014-01-13,AL,11,0
2014-01-13,AQ,5,0
2014-01-13,IM,8,0
2014-01-13,PV,8,0
2014-01-13,VT,2,0
2014-01-13,RC,2,0
2014-01-13,AN,10,0
2014-01-13,FM,2,0
2014-01-13,SV,6,0
2014-01-13,LC,8,0
2014-01-13,CH,7,0
2014-01-13,RM,99,1
2014-01-13,RA,9,0
2014-01-13,OG,1,0
2014-01-13,PG,4,0
2014-01-13,BZ,16,0
2014-01-13,AR,5,0
2014-01-13,RN,5,0
2014-01-13,RO,1,0
2014-01-13,OR,2,0
2014-01-13,NU,1,0
2014-01-13,FE,9,0
2014-01-13,VS,3,0
2014-01-13,BG,17,0
2014-01-13,TR,1,0
2014-01-13,SS,7,0
2014-01-13,FG,7,0
2014-01-13,PR,4,0
2014-01-13,PI,11,0
2014-01-13,VI,8,0
2014-01-13,PU,4,0
2014-01-13,FC,6,0
2014-01-13,RE,6,0
2014-01-13,VA,15,0
2014-01-13,UD,8,0
2014-01-13,LO,1,0
2014-01-13,MT,3,0
2014-01-13,CI,1,0
2014-01-13,BS,9,0
2014-01-13,BO,29,0
2014-01-13,FI,16,0
2014-01-13,BN,5,0
2014-01-13,TO,97,0
2014-01-13,MC,3,0
2014-01-13,TS,10,0
2014-01-13,MN,2,0
2014-01-13,LT,7,0
2014-01-13,TV,23,0
2014-01-13,TA,3,0
2014-01-13,CB,2,0
2014-01-13,CL,1,0
2014-01-13,SO,2,0
2014-01-13,BI,4,0
2014-01-13,LE,3,0
2014-01-13,NA,25,0
2014-01-13,MB,15,0
2014-01-13,BR,1,0
2014-01-13,IS,1,0
2014-01-13,LU,9,0
2014-01-13,SI,5,0
2014-01-13,VC,4,0
2014-01-13,TN,18,0
2014-01-13,SP,1,0
2014-01-13,CR,9,0
2014-01-13,CO,12,0
2014-01-13,AG,2,0
2014-01-13,TP,2,0
2014-01-13,ME,8,0
2014-01-13,CT,2,0
2014-01-13,CS,1,0
2014-01-13,GR,4,0
2014-01-13,PO,1,0
2014-01-14,BL,1,0
2014-01-14,BI,4,0
2014-01-14,TA,3,0
2014-01-14,AN,10,0
2014-01-14,CI,1,0
2014-01-14,MO,13,0
2014-01-14,CA,4,0
2014-01-14,PO,1,0
2014-01-14,BG,17,0
2014-01-14,NO,4,0
2014-01-14,PD,26,0
2014-01-14,LI,6,0
2014-01-14,RG,1,0
2014-01-14,SS,7,0
2014-01-14,PR,4,0
2014-01-14,AL,11,0
2014-01-14,TS,10,0
2014-01-14,SV,6,0
2014-01-14,TR,1,0
2014-01-14,FI,16,0
2014-01-14,MT,3,0
2014-01-14,AQ,5,0
2014-01-14,RO,1,0
2014-01-14,PG,4,0
2014-01-14,BZ,16,0
2014-01-14,CH,7,0
2014-01-14,RA,9,0
2014-01-14,IM,8,0
2014-01-14,PU,4,0
2014-01-14,PI,11,0
2014-01-14,OR,2,0
2014-01-14,NU,1,0
2014-01-14,SA,3,0
2014-01-14,MB,15,0
2014-01-14,CR,9,0
2014-01-14,BR,1,0
2014-01-14,LC,8,0
2014-01-14,MI,113,0
2014-01-14,BO,29,0
2014-01-14,VT,2,0
2014-01-14,ME,8,0
2014-01-14,TN,18,0
2014-01-14,MS,2,0
2014-01-14,RE,6,0
2014-01-14,SR,3,0
2014-01-14,NA,25,0
2014-01-14,RM,97,1
2014-01-14,LE,3,1
2014-01-14,UD,8,0
2014-01-14,RI,4,0
2014-01-14,AG,2,1
2014-01-14,GR,4,0
2014-01-14,TP,2,0
2014-01-14,CB,2,0
2014-01-14,SI,5,0
2014-01-14,LO,1,0
2014-01-14,TO,95,0
2014-01-14,MC,3,0
2014-01-14,TV,23,0
2014-01-14,CL,1,0
2014-01-14,LT,7,0
2014-01-14,IS,1,0
2014-01-14,AP,2,0
2014-01-14,CO,12,0
2014-01-14,VC,4,0
2014-01-14,SO,2,0
2014-01-14,SP,1,0
2014-01-14,LU,9,0
2014-01-14,AR,5,0
2014-01-14,GO,3,0
2014-01-14,FE,9,0
2014-01-14,VI,8,0
2014-01-14,RC,2,0
2014-01-14,RN,5,0
2014-01-14,GE,11,0
2014-01-14,FG,7,0
2014-01-14,FC,6,0
2014-01-14,CN,8,0
2014-01-14,BA,6,0
2014-01-14,VS,3,0
2014-01-14,BN,5,0
2014-01-14,VE,18,1
2014-01-14,OG,1,0
2014-01-14,PA,6,0
2014-01-14,CS,1,0
2014-01-14,VA,15,0
2014-01-14,CE,7,0
2014-01-14,VR,5,1
2014-01-14,BS,9,0
2014-01-14,FM,2,0
2014-01-14,VB,3,0
2014-01-14,PV,8,0
2014-01-14,CT,2,0
2014-01-14,MN,2,0
2014-01-15,BG,17,0
2014-01-15,MC,3,0
2014-01-15,BN,5,0
2014-01-15,BS,9,0
2014-01-15,NA,21,1
2014-01-15,TR,1,0
2014-01-15,CI,1,0
2014-01-15,SV,6,0
2014-01-15,MB,15,0
2014-01-15,BA,6,0
2014-01-15,SS,7,0
2014-01-15,TP,2,0
2014-01-15,LE,3,0
2014-01-15,MS,1,0
2014-01-15,RE,6,0
2014-01-15,CN,8,0
2014-01-15,SI,5,0
2014-01-15,MI,110,0
2014-01-15,SA,3,0
2014-01-15,PR,4,0
2014-01-15,LO,1,0
2014-01-15,PG,4,0
2014-01-15,BZ,16,0
2014-01-15,RO,1,0
2014-01-15,FM,2,0
2014-01-15,VT,2,0
2014-01-15,CE,7,0
2014-01-15,MO,12,0
2014-01-15,AP,2,0
2014-01-15,PO,1,0
2014-01-15,TA,3,0
2014-01-15,RC,2,0
2014-01-15,AR,5,0
2014-01-15,GO,3,0
2014-01-15,VA,15,0
2014-01-15,RI,4,0
2014-01-15,CA,4,0
2014-01-15,IM,8,0
2014-01-15,GE,11,0
2014-01-15,VE,18,0
2014-01-15,VS,3,0
