day,provincia,active,ili
2014-02-17,AG,2,0
2014-02-17,CI,1,0
2014-02-17,SV,5,0
2014-02-17,SI,4,0
2014-02-17,BT,1,0
2014-02-17,PO,2,0
2014-02-17,MO,13,0
2014-02-17,TP,2,0
2014-02-17,FE,9,0
2014-02-17,VB,2,0
2014-02-17,RE,6,0
2014-02-17,CN,7,0
2014-02-17,GO,2,0
2014-02-17,TR,1,0
2014-02-17,RG,3,0
2014-02-17,CA,9,0
2014-02-17,AR,5,0
2014-02-17,OG,1,0
2014-02-17,AN,6,0
2014-02-17,PA,4,0
2014-02-17,VR,4,0
2014-02-17,TO,104,1
2014-02-17,CT,3,0
2014-02-17,MS,2,0
2014-02-17,LE,3,0
2014-02-17,SO,3,0
2014-02-17,FI,11,0
2014-02-17,TN,19,0
2014-02-17,ME,7,0
2014-02-17,CR,10,0
2014-02-17,VC,1,0
2014-02-17,IS,1,0
2014-02-17,LC,7,0
2014-02-17,AO,1,0
2014-02-17,CH,7,0
2014-02-17,RA,8,0
2014-02-17,MI,110,0
2014-02-17,PU,8,0
2014-02-17,PI,10,0
2014-02-17,PV,9,0
2014-02-17,OR,2,0
2014-02-17,MN,2,0
2014-02-17,NU,1,0
2014-02-17,LI,6,0
2014-02-17,TV,17,0
2014-02-17,TA,5,0
2014-02-17,BL,1,0
2014-02-17,BZ,12,0
2014-02-17,BO,29,0
2014-02-17,PG,4,0
2014-02-17,SR,3,0
2014-02-17,PD,23,0
2014-02-17,RO,2,0
2014-02-17,BI,4,0
2014-02-17,NO,6,0
2014-02-17,RM,107,0
2014-02-17,AQ,6,0
2014-02-17,FG,6,0
2014-02-17,MB,23,0
2014-02-17,VE,18,0
2014-02-17,CB,2,0
2014-02-17,PT,1,0
2014-02-17,LT,7,0
2014-02-17,CS,1,0
2014-02-17,LU,9,0
2014-02-17,VA,15,0
2014-02-17,VS,4,0
2014-02-17,RI,4,0
2014-02-17,FC,5,0
2014-02-17,SA,3,0
2014-02-17,CE,9,0
2014-02-17,BG,17,0
2014-02-17,CO,13,0
2014-02-17,CL,1,0
2014-02-17,MT,3,0
2014-02-17,IM,8,0
2014-02-17,AL,12,0
2014-02-17,SP,1,0
2014-02-17,GE,12,0
2014-02-17,PR,4,0
2014-02-17,AP,2,0
2014-02-17,RC,2,0
2014-02-17,SS,7,0
2014-02-17,VT,3,0
2014-02-17,TS,9,0
2014-02-17,BA,6,0
2014-02-17,BN,6,0
2014-02-17,UD,11,0
2014-02-17,VI,8,0
2014-02-17,PC,1,0
2014-02-17,BS,8,0
2014-02-17,GR,3,0
2014-02-17,MC,3,0
2014-02-17,LO,1,0
2014-02-17,RN,4,0
2014-02-17,FM,2,0
2014-02-17,BR,1,0
2014-02-17,NA,26,0
2014-02-18,GE,12,0
2014-02-18,SV,5,0
2014-02-18,OR,2,0
2014-02-18,AL,12,0
2014-02-18,VR,4,0
2014-02-18,CA,9,0
2014-02-18,RG,3,0
2014-02-18,VI,8,0
2014-02-18,SI,4,0
2014-02-18,TA,5,0
2014-02-18,MB,23,1
2014-02-18,LU,9,0
2014-02-18,NO,6,1
2014-02-18,PO,2,0
2014-02-18,GO,2,0
2014-02-18,FM,2,0
2014-02-18,TO,104,0
2014-02-18,MT,3,0
2014-02-18,BG,17,0
2014-02-18,NU,1,0
2014-02-18,BZ,12,0
2014-02-18,IS,1,0
2014-02-18,VC,1,0
2014-02-18,LC,7,0
2014-02-18,PI,10,0
2014-02-18,AO,1,0
2014-02-18,RA,8,0
2014-02-18,SP,1,0
2014-02-18,MN,2,0
