day,provincia,active,ili
2013-11-01,SS,7,0
2013-11-01,MO,13,0
2013-11-01,VR,4,0
2013-11-01,LC,9,0
2013-11-01,TA,2,0
2013-11-01,TN,15,0
2013-11-01,CS,1,0
2013-11-01,FM,4,0
2013-11-01,MN,2,0
2013-11-01,LE,4,0
2013-11-01,CT,3,0
2013-11-01,BG,14,0
2013-11-01,CE,6,0
2013-11-01,LU,8,0
2013-11-01,IS,1,0
2013-11-01,BS,8,0
2013-11-01,CN,5,0
2013-11-01,SV,14,0
2013-11-01,PI,12,0
2013-11-01,TS,10,0
2013-11-01,PO,1,0
2013-11-01,BZ,9,0
2013-11-01,CR,8,0
2013-11-01,NO,6,0
2013-11-01,OR,2,0
2013-11-01,BI,3,0
2013-11-01,CH,3,0
2013-11-01,BA,5,0
2013-11-01,UD,7,0
2013-11-01,PE,4,0
2013-11-01,ME,10,0
2013-11-01,TV,21,0
2013-11-01,CO,13,0
2013-11-01,PN,1,0
2013-11-01,AL,9,0
2013-11-01,PU,7,0
2013-11-01,AG,2,0
2013-11-01,RG,2,0
2013-11-01,SO,3,0
2013-11-01,MB,24,0
2013-11-01,FE,5,0
2013-11-01,BL,3,0
2013-11-01,VC,1,0
2013-11-01,AQ,6,0
2013-11-01,IM,8,0
2013-11-01,CA,4,0
2013-11-01,VB,3,0
2013-11-01,MT,2,0
2013-11-01,SP,1,0
2013-11-01,AP,2,0
2013-11-01,VS,1,0
2013-11-01,AO,1,0
2013-11-01,SA,5,0
2013-11-01,FI,17,0
2013-11-01,RI,4,0
2013-11-01,OG,1,0
2013-11-01,AR,5,0
2013-11-01,BR,2,0
2013-11-01,LO,1,0
2013-11-01,LI,5,0
2013-11-01,CB,2,0
2013-11-01,VT,2,0
2013-11-01,VA,17,0
2013-11-01,RN,7,0
2013-11-01,GE,13,0
2013-11-01,FC,5,0
2013-11-01,RC,2,0
2013-11-01,GO,3,0
2013-11-01,FG,7,0
2013-11-01,BO,29,0
2013-11-01,RE,6,0
2013-11-01,AN,15,0
2013-11-01,RO,1,0
2013-11-01,MI,106,0
2013-11-01,VI,10,0
2013-11-01,PT,1,0
2013-11-01,RM,97,0
2013-11-01,GR,4,0
2013-11-01,LT,7,0
2013-11-01,SR,3,0
2013-11-01,NA,23,0
2013-11-01,PV,5,0
2013-11-01,PA,7,0
2013-11-01,RA,10,0
2013-11-01,PG,4,0
2013-11-01,TR,2,0
2013-11-01,TO,87,1
2013-11-01,SI,2,0
2013-11-01,TP,5,0
2013-11-01,PD,28,0
2013-11-01,VE,19,0
2013-11-01,BN,1,0
2013-11-01,PR,5,0
2013-11-01,MC,3,0
2013-11-01,MS,2,0
2013-11-02,BI,3,0
2013-11-02,GE,13,0
2013-11-02,FM,4,0
2013-11-02,VB,3,0
2013-11-02,NO,6,0
2013-11-02,MC,3,0
2013-11-02,GO,3,0
2013-11-02,RC,2,0
2013-11-02,MS,2,0
2013-11-02,FI,17,0
2013-11-02,BN,1,0
2013-11-02,IM,8,0
2013-11-02,BO,29,0
2013-11-02,PO,1,0
2013-11-02,MB,24,0
2013-11-02,RA,10,0
2013-11-02,RM,97,0
2013-11-02,BL,3,0
2013-11-02,AR,5,0
2013-11-02,FC,5,0
2013-11-02,RN,7,0
2013-11-02,VR,4,0
2013-11-02,LI,5,0
2013-11-02,IS,1,0
2013-11-02,BA,5,0
2013-11-02,CE,6,0
2013-11-02,AL,9,0
2013-11-02,PG,4,0
2013-11-02,UD,7,0
2013-11-02,PT,1,0
