day,provincia,active,ili
2014-01-26,RA,9,0
2014-01-26,GE,11,0
2014-01-26,PD,26,0
2014-01-26,CS,1,0
2014-01-26,TS,11,0
2014-01-26,LO,1,0
2014-01-26,PU,3,0
2014-01-26,BZ,15,0
2014-01-26,VA,12,0
2014-01-26,AP,2,0
2014-01-26,NA,16,0
2014-01-26,RE,3,0
2014-01-26,SR,3,0
2014-01-26,CI,1,0
2014-01-26,SA,3,0
2014-01-26,CN,7,0
2014-01-26,SV,7,0
2014-01-26,VB,3,0
2014-01-26,BS,11,1
2014-01-26,VT,3,0
2014-01-26,CT,1,0
2014-01-26,UD,9,0
2014-01-26,RN,5,0
2014-01-26,TN,18,0
2014-01-26,VC,4,0
2014-01-26,SI,4,0
2014-01-26,BA,5,0
2014-01-26,PO,2,0
2014-01-26,LE,3,0
2014-01-26,FE,8,0
2014-01-26,PV,8,0
2014-01-26,MC,3,0
2014-01-26,PI,12,0
2014-01-26,SS,7,0
2014-01-26,FG,6,0
2014-01-26,VS,1,0
2014-01-26,RO,1,0
2014-01-26,IS,1,0
2014-01-26,VI,10,0
2014-01-26,AO,1,0
2014-01-26,NU,1,0
2014-01-26,ME,6,0
2014-01-26,FI,16,0
2014-01-26,LU,9,0
2014-01-26,BN,1,0
2014-01-26,MO,12,0
2014-01-26,RM,95,0
2014-01-26,MN,2,0
2014-01-26,PR,4,0
2014-01-26,VR,4,0
2014-01-26,TO,88,1
2014-01-26,AG,2,0
2014-01-26,PT,1,0
2014-01-26,GO,2,0
2014-01-26,IM,8,0
2014-01-26,CA,3,0
2014-01-26,CL,1,0
2014-01-26,TR,1,0
2014-01-26,AQ,3,0
2014-01-26,RI,2,0
2014-01-26,CB,2,0
2014-01-26,GR,3,0
2014-01-26,BL,1,0
2014-01-26,PA,6,0
2014-01-26,CE,8,0
2014-01-26,AN,15,0
2014-01-26,MS,1,0
2014-01-26,PG,5,1
2014-01-26,SO,3,0
2014-01-26,CR,9,0
2014-01-26,MT,3,0
2014-01-26,TP,2,0
2014-01-26,BI,3,0
2014-01-26,MB,25,1
2014-01-26,LC,7,0
2014-01-26,CO,14,1
2014-01-26,FM,2,0
2014-01-26,AL,11,0
2014-01-26,TA,3,0
2014-01-26,MI,112,0
2014-01-26,RC,2,0
2014-01-26,LT,7,0
2014-01-26,TV,25,0
2014-01-26,NO,4,0
2014-01-26,VE,18,0
2014-01-26,RG,1,0
2014-01-26,CH,5,0
2014-01-26,AR,5,0
2014-01-26,LI,6,0
2014-01-26,FC,5,0
2014-01-26,BG,13,0
2014-01-26,BR,1,0
2014-01-26,BO,27,0
2014-01-26,SP,1,0
2014-01-27,NA,16,0
2014-01-27,MN,2,0
2014-01-27,CT,1,0
2014-01-27,PR,4,0
2014-01-27,PG,5,0
2014-01-27,NU,1,0
2014-01-27,UD,9,0
2014-01-27,PU,3,0
2014-01-27,CH,5,0
2014-01-27,RA,9,0
2014-01-27,IS,1,0
2014-01-27,PA,6,0
2014-01-27,RC,2,0
2014-01-27,GR,3,0
2014-01-27,MI,112,1
2014-01-27,MS,1,0
2014-01-27,GE,11,0
2014-01-27,VE,18,1
2014-01-27,FC,5,0
2014-01-27,GO,2,0
2014-01-27,SP,1,0
2014-01-27,LT,7,0
2014-01-27,TV,25,0
2014-01-27,RN,5,0
2014-01-27,SR,3,0
2014-01-27,VI,10,0
2014-01-27,VA,12,0
2014-01-27,BN,1,0
2014-01-27,ME,6,1
2014-01-27,MT,3,0
2014-01-27,BO,27,0
2014-01-27,BG,13,0
2014-01-27,MB,25,0
2014-01-27,LC,7,0
