 schemaname |                     tablename                     |                            indexname                            | tablespace |                                                                                 indexdef                                                                                  
------------+---------------------------------------------------+-----------------------------------------------------------------+------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 pg_catalog | pg_aggregate                                      | pg_aggregate_fnoid_index                                        |            | CREATE UNIQUE INDEX pg_aggregate_fnoid_index ON pg_aggregate USING btree (aggfnoid)
 pg_catalog | pg_am                                             | pg_am_name_index                                                |            | CREATE UNIQUE INDEX pg_am_name_index ON pg_am USING btree (amname)
 pg_catalog | pg_am                                             | pg_am_oid_index                                                 |            | CREATE UNIQUE INDEX pg_am_oid_index ON pg_am USING btree (oid)
 pg_catalog | pg_amop                                           | pg_amop_fam_strat_index                                         |            | CREATE UNIQUE INDEX pg_amop_fam_strat_index ON pg_amop USING btree (amopfamily, amoplefttype, amoprighttype, amopstrategy)
 pg_catalog | pg_amop                                           | pg_amop_opr_fam_index                                           |            | CREATE UNIQUE INDEX pg_amop_opr_fam_index ON pg_amop USING btree (amopopr, amopfamily)
 pg_catalog | pg_amop                                           | pg_amop_oid_index                                               |            | CREATE UNIQUE INDEX pg_amop_oid_index ON pg_amop USING btree (oid)
 pg_catalog | pg_amproc                                         | pg_amproc_fam_proc_index                                        |            | CREATE UNIQUE INDEX pg_amproc_fam_proc_index ON pg_amproc USING btree (amprocfamily, amproclefttype, amprocrighttype, amprocnum)
 pg_catalog | pg_amproc                                         | pg_amproc_oid_index                                             |            | CREATE UNIQUE INDEX pg_amproc_oid_index ON pg_amproc USING btree (oid)
 pg_catalog | pg_attrdef                                        | pg_attrdef_adrelid_adnum_index                                  |            | CREATE UNIQUE INDEX pg_attrdef_adrelid_adnum_index ON pg_attrdef USING btree (adrelid, adnum)
 pg_catalog | pg_attrdef                                        | pg_attrdef_oid_index                                            |            | CREATE UNIQUE INDEX pg_attrdef_oid_index ON pg_attrdef USING btree (oid)
 pg_catalog | pg_attribute                                      | pg_attribute_relid_attnam_index                                 |            | CREATE UNIQUE INDEX pg_attribute_relid_attnam_index ON pg_attribute USING btree (attrelid, attname)
 pg_catalog | pg_attribute                                      | pg_attribute_relid_attnum_index                                 |            | CREATE UNIQUE INDEX pg_attribute_relid_attnum_index ON pg_attribute USING btree (attrelid, attnum)
 pg_catalog | pg_authid                                         | pg_authid_rolname_index                                         | pg_global  | CREATE UNIQUE INDEX pg_authid_rolname_index ON pg_authid USING btree (rolname)
 pg_catalog | pg_authid                                         | pg_authid_oid_index                                             | pg_global  | CREATE UNIQUE INDEX pg_authid_oid_index ON pg_authid USING btree (oid)
 pg_catalog | pg_auth_members                                   | pg_auth_members_role_member_index                               | pg_global  | CREATE UNIQUE INDEX pg_auth_members_role_member_index ON pg_auth_members USING btree (roleid, member)
 pg_catalog | pg_auth_members                                   | pg_auth_members_member_role_index                               | pg_global  | CREATE UNIQUE INDEX pg_auth_members_member_role_index ON pg_auth_members USING btree (member, roleid)
 pg_catalog | pg_cast                                           | pg_cast_oid_index                                               |            | CREATE UNIQUE INDEX pg_cast_oid_index ON pg_cast USING btree (oid)
 pg_catalog | pg_cast                                           | pg_cast_source_target_index                                     |            | CREATE UNIQUE INDEX pg_cast_source_target_index ON pg_cast USING btree (castsource, casttarget)
 pg_catalog | pg_class                                          | pg_class_oid_index                                              |            | CREATE UNIQUE INDEX pg_class_oid_index ON pg_class USING btree (oid)
 pg_catalog | pg_class                                          | pg_class_relname_nsp_index                                      |            | CREATE UNIQUE INDEX pg_class_relname_nsp_index ON pg_class USING btree (relname, relnamespace)
 pg_catalog | pg_constraint                                     | pg_constraint_conname_nsp_index                                 |            | CREATE INDEX pg_constraint_conname_nsp_index ON pg_constraint USING btree (conname, connamespace)
 pg_catalog | pg_constraint                                     | pg_constraint_conrelid_index                                    |            | CREATE INDEX pg_constraint_conrelid_index ON pg_constraint USING btree (conrelid)
 pg_catalog | pg_constraint                                     | pg_constraint_contypid_index                                    |            | CREATE INDEX pg_constraint_contypid_index ON pg_constraint USING btree (contypid)
 pg_catalog | pg_constraint                                     | pg_constraint_oid_index                                         |            | CREATE UNIQUE INDEX pg_constraint_oid_index ON pg_constraint USING btree (oid)
 pg_catalog | pg_conversion                                     | pg_conversion_default_index                                     |            | CREATE UNIQUE INDEX pg_conversion_default_index ON pg_conversion USING btree (connamespace, conforencoding, contoencoding, oid)
 pg_catalog | pg_conversion                                     | pg_conversion_name_nsp_index                                    |            | CREATE UNIQUE INDEX pg_conversion_name_nsp_index ON pg_conversion USING btree (conname, connamespace)
 pg_catalog | pg_conversion                                     | pg_conversion_oid_index                                         |            | CREATE UNIQUE INDEX pg_conversion_oid_index ON pg_conversion USING btree (oid)
 pg_catalog | pg_database                                       | pg_database_datname_index                                       | pg_global  | CREATE UNIQUE INDEX pg_database_datname_index ON pg_database USING btree (datname)
 pg_catalog | pg_database                                       | pg_database_oid_index                                           | pg_global  | CREATE UNIQUE INDEX pg_database_oid_index ON pg_database USING btree (oid)
 pg_catalog | pg_depend                                         | pg_depend_depender_index                                        |            | CREATE INDEX pg_depend_depender_index ON pg_depend USING btree (classid, objid, objsubid)
 pg_catalog | pg_depend                                         | pg_depend_reference_index                                       |            | CREATE INDEX pg_depend_reference_index ON pg_depend USING btree (refclassid, refobjid, refobjsubid)
 pg_catalog | pg_description                                    | pg_description_o_c_o_index                                      |            | CREATE UNIQUE INDEX pg_description_o_c_o_index ON pg_description USING btree (objoid, classoid, objsubid)
 pg_catalog | pg_shdescription                                  | pg_shdescription_o_c_index                                      | pg_global  | CREATE UNIQUE INDEX pg_shdescription_o_c_index ON pg_shdescription USING btree (objoid, classoid)
 pg_catalog | pg_enum                                           | pg_enum_oid_index                                               |            | CREATE UNIQUE INDEX pg_enum_oid_index ON pg_enum USING btree (oid)
