    Day     | Active | ILI 
------------+--------+-----
 2011-12-08 |    594 |  61
 2011-12-09 |    594 |  28
 2011-12-10 |    594 |  13
 2011-12-11 |    594 |  10
 2011-12-12 |    594 |  16
 2011-12-13 |    594 |  10
 2011-12-14 |    594 |  92
 2011-12-15 |    594 |  74
 2011-12-16 |    594 |  18
 2011-12-17 |    594 |  10
 2011-12-18 |    594 |  12
 2011-12-19 |    594 |  18
 2011-12-20 |    594 |  15
 2011-12-21 |    594 |  62
 2011-12-22 |    594 |  83
 2011-12-23 |    594 |  28
 2011-12-24 |    594 |  24
 2011-12-25 |    594 |  13
 2011-12-26 |    594 |  21
 2011-12-27 |    594 |  21
 2011-12-28 |    594 |  74
 2011-12-29 |    594 |  65
 2011-12-30 |    594 |  14
 2011-12-31 |    594 |   8
 2012-01-01 |    594 |  16
 2012-01-02 |    594 |  16
 2012-01-03 |    594 |  19
 2012-01-04 |    594 |  15
 2012-01-05 |    594 |  95
 2012-01-06 |    594 |  43
 2012-01-07 |    594 |  21
 2012-01-08 |    594 |  26
 2012-01-09 |    594 |  32
 2012-01-10 |    594 |  19
 2012-01-11 |    594 |  29
 2012-01-12 |    594 | 137
 2012-01-13 |    594 |  19
 2012-01-14 |    594 |  29
 2012-01-15 |    594 |  20
 2012-01-16 |    594 |  28
 2012-01-17 |    594 |  29
 2012-01-18 |    594 | 102
 2012-01-19 |    594 |  93
 2012-01-20 |    594 |  25
 2012-01-21 |    594 |  17
 2012-01-22 |    594 |  16
 2012-01-23 |    594 |  31
 2012-01-24 |    594 |  24
 2012-01-25 |    594 |  95
 2012-01-26 |    594 |  85
 2012-01-27 |    594 |  26
 2012-01-28 |    594 |  20
 2012-01-29 |    594 |  12
 2012-01-30 |    594 |  15
 2012-01-31 |    594 |  10
 2012-02-01 |    594 |  17
 2012-02-02 |    594 | 132
 2012-02-03 |    594 |  71
 2012-02-04 |    594 |  19
 2012-02-05 |    594 |  26
 2012-02-06 |    594 |  12
 2012-02-07 |    594 |  14
 2012-02-08 |    594 |  60
 2012-02-09 |    594 | 115
 2012-02-10 |    594 |  25
 2012-02-11 |    594 |  19
 2012-02-12 |    594 |  17
 2012-02-13 |    594 |  11
 2012-02-14 |    594 |  16
 2012-02-15 |    594 |  58
 2012-02-16 |    594 | 111
 2012-02-17 |    594 |  26
 2012-02-18 |    594 |  10
 2012-02-19 |    594 |   8
 2012-02-20 |    594 |  17
 2012-02-21 |    594 |  11
 2012-02-22 |    594 |  11
 2012-02-23 |    594 |  85
 2012-02-24 |    594 |  95
 2012-02-25 |    594 |  18
 2012-02-26 |    594 |  13
 2012-02-27 |    594 |  14
 2012-02-28 |    594 |   9
 2012-02-29 |    594 | 120
 2012-03-01 |    594 |  46
 2012-03-02 |    594 |  25
 2012-03-03 |    594 |  18
 2012-03-04 |    594 |   9
 2012-03-05 |    594 |  13
 2012-03-06 |    594 |  10
 2012-03-07 |    594 |  12
 2012-03-08 |    594 |  85
 2012-03-09 |    594 |  74
 2012-03-10 |    594 |  20
 2012-03-11 |    594 |  10
 2012-03-12 |    594 |  16
 2012-03-13 |    594 |  10
 2012-03-14 |    594 |  61
 2012-03-15 |    594 | 101
 2012-03-16 |    594 |  10
 2012-03-17 |    594 |   6
 2012-03-18 |    594 |  13
 2012-03-19 |    594 |  11
 2012-03-20 |    594 |   6
 2012-03-21 |    594 | 106
 2012-03-22 |    594 |  58
 2012-03-23 |    594 |  12
 2012-03-24 |    594 |  12
 2012-03-25 |    594 |   6
 2012-03-26 |    594 |   9
 2012-03-27 |    594 |   8
 2012-03-28 |    594 |  85
 2012-03-29 |    594 |  82
 2012-03-30 |    594 |  12
 2012-03-31 |    594 |  13
 2012-04-01 |    594 |   5
 2012-04-02 |    594 |   7
 2012-04-03 |    594 |   4
(118 rows)

