    Day     | Active | ILI 
------------+--------+-----
 2011-11-14 |    599 |   0
 2011-11-15 |    599 |   0
 2011-11-16 |    599 |   0
 2011-11-17 |    599 |   0
 2011-11-18 |    599 |   0
 2011-11-19 |    599 |   0
 2011-11-20 |    599 |   1
 2011-11-21 |    599 |   2
 2011-11-22 |    599 |   0
 2011-11-23 |    599 |   2
 2011-11-24 |    599 |   0
 2011-11-25 |    599 |   0
 2011-11-26 |    599 |   0
 2011-11-27 |    599 |   1
 2011-11-28 |    599 |   0
 2011-11-29 |    599 |   0
 2011-11-30 |    599 |   0
 2011-12-01 |    599 |   0
 2011-12-02 |    599 |   0
 2011-12-03 |    599 |   0
 2011-12-04 |    599 |   2
 2011-12-05 |    599 |   0
 2011-12-06 |    599 |   1
 2011-12-07 |    599 |   0
 2011-12-08 |    599 |   0
 2011-12-09 |    599 |   1
 2011-12-10 |    599 |   0
 2011-12-11 |    599 |   0
 2011-12-12 |    599 |   1
 2011-12-13 |    599 |   1
 2011-12-14 |    599 |   1
 2011-12-15 |    599 |   1
 2011-12-16 |    599 |   2
 2011-12-17 |    599 |   1
 2011-12-18 |    599 |   1
 2011-12-19 |    599 |   0
 2011-12-20 |    599 |   2
 2011-12-21 |    599 |   0
 2011-12-22 |    599 |   1
 2011-12-23 |    599 |   1
 2011-12-24 |    599 |   1
 2011-12-25 |    599 |   1
 2011-12-26 |    599 |   2
 2011-12-27 |    599 |   0
 2011-12-28 |    599 |   2
 2011-12-29 |    599 |   0
 2011-12-30 |    599 |   0
 2011-12-31 |    599 |   1
 2012-01-01 |    599 |   1
 2012-01-02 |    599 |   0
 2012-01-03 |    599 |   1
 2012-01-04 |    599 |   1
 2012-01-05 |    599 |   1
 2012-01-06 |    599 |   2
 2012-01-07 |    599 |   1
 2012-01-08 |    599 |   3
 2012-01-09 |    599 |   0
 2012-01-10 |    599 |   0
 2012-01-11 |    599 |   0
 2012-01-12 |    599 |   1
 2012-01-13 |    599 |   0
 2012-01-14 |    599 |   2
 2012-01-15 |    599 |   0
 2012-01-16 |    599 |   2
 2012-01-17 |    599 |   4
 2012-01-18 |    599 |   0
 2012-01-19 |    599 |   1
 2012-01-20 |    599 |   1
 2012-01-21 |    599 |   0
 2012-01-22 |    599 |   2
 2012-01-23 |    599 |   3
 2012-01-24 |    599 |   1
 2012-01-25 |    599 |   6
 2012-01-26 |    599 |   1
 2012-01-27 |    599 |   1
 2012-01-28 |    599 |   1
 2012-01-29 |    599 |   1
 2012-01-30 |    599 |   0
 2012-01-31 |    599 |   1
 2012-02-01 |    599 |   1
 2012-02-02 |    599 |   2
 2012-02-03 |    599 |   1
 2012-02-04 |    599 |   1
 2012-02-05 |    599 |   1
 2012-02-06 |    599 |   0
 2012-02-07 |    599 |   2
 2012-02-08 |    599 |   2
 2012-02-09 |    599 |   2
 2012-02-10 |    599 |   1
 2012-02-11 |    599 |   0
 2012-02-12 |    599 |   1
 2012-02-13 |    599 |   1
 2012-02-14 |    599 |   3
 2012-02-15 |    599 |   0
 2012-02-16 |    599 |   1
 2012-02-17 |    599 |   1
 2012-02-18 |    599 |   1
 2012-02-19 |    599 |   0
 2012-02-20 |    599 |   2
 2012-02-21 |    599 |   2
 2012-02-22 |    599 |   1
 2012-02-23 |    599 |   2
 2012-02-24 |    599 |   2
 2012-02-25 |    599 |   1
 2012-02-26 |    599 |   2
 2012-02-27 |    599 |   0
 2012-02-28 |    599 |   1
 2012-02-29 |    599 |   2
 2012-03-01 |    599 |   1
 2012-03-02 |    599 |   2
 2012-03-03 |    599 |   0
 2012-03-04 |    599 |   2
 2012-03-05 |    599 |   2
 2012-03-06 |    599 |   2
 2012-03-07 |    599 |   2
 2012-03-08 |    599 |   2
 2012-03-09 |    599 |   1
 2012-03-10 |    599 |   1
 2012-03-11 |    599 |   1
 2012-03-12 |    599 |   1
 2012-03-13 |    599 |   1
 2012-03-14 |    599 |   1
 2012-03-15 |    599 |   2
 2012-03-16 |    599 |   0
 2012-03-17 |    599 |   1
 2012-03-18 |    599 |   1
 2012-03-19 |    599 |   1
 2012-03-20 |    599 |   0
 2012-03-21 |    599 |   2
 2012-03-22 |    599 |   0
 2012-03-23 |    599 |   1
 2012-03-24 |    599 |   1
 2012-03-25 |    599 |   1
 2012-03-26 |    599 |   0
 2012-03-27 |    599 |   1
 2012-03-28 |    599 |   3
 2012-03-29 |    599 |   0
 2012-03-30 |    599 |   2
 2012-03-31 |    599 |   2
 2012-04-01 |    599 |   1
 2012-04-02 |    599 |   0
 2012-04-03 |    599 |   0
 2012-04-04 |    599 |   1
 2012-04-05 |    599 |   0
 2012-04-06 |    599 |   1
 2012-04-07 |    599 |   0
 2012-04-08 |    599 |   0
 2012-04-09 |    599 |   0
 2012-04-10 |    599 |   0
 2012-04-11 |    599 |   0
(150 rows)

